x,y,z,d
-22.1217381200409,-27.8760869620419,55.2770473158484,3.54430321111291
-21.8500094793775,-28.5674612536146,54.4026334959866,2.59401188759994
-22.3755768365165,-27.2436573619624,56.0868999521313,4.50060322311568
-22.5272405260701,-24.8484617118723,56.0308933608798,6.66949866755779
-21.5612401035743,-30.8012074435013,53.7020462020859,0.360506626150771
-22.05597214855,-28.6702833277097,54.9659460980765,2.69215058863044
-22.4405530182277,-27.2727315885922,56.3017945590074,4.59599064110117
-21.8795139653669,-25.8846744576326,54.7649781997872,5.29395276289958
-22.4940115385288,-28.7151808188556,56.0455092401584,3.33013949518359
-21.2414355747058,-29.6148347473476,53.693761805177,1.54169337670518
-23.419548554646,-25.8001929230982,57.4255331268597,6.62027913487623
-22.2694878503486,-28.1059558583247,54.9859576539858,3.25450738673537
-22.0911387148153,-27.5601404105591,55.2347087521183,3.81487491316926
-21.8570459708411,-27.8329983188051,55.0987273203668,3.4894583827078
-21.8825386534308,-29.9331680627133,54.7050809718265,1.44550345269452
-20.9372436920463,-28.3069936621986,53.0275286358866,3.00022275971786
-22.1452844708343,-28.1950459968182,54.7012695127934,3.06237256826589
-22.0009511028996,-27.733941322891,55.1389673908729,3.60917622184115
-22.8410978012384,-27.3105909876742,57.6230584083194,5.45537426091856
-21.5247337457769,-29.8594763450205,54.3393349327328,1.31817264829298
-21.9536440506893,-27.5687147290143,54.7858249500365,3.65783072623318
-21.9376574930915,-29.034290741479,54.435068154699,2.16043172851013
-22.7546833195607,-26.0457806261114,56.4207750746066,5.76478395298736
-21.8089044869799,-27.8249311772749,54.2991082399209,3.30590445497738
-22.5757592640194,-27.5542979945219,56.5384815799707,4.52611244898043
-21.8350281647949,-28.5788233589333,54.1534974097392,2.54476537827201
-22.5678176783327,-27.2415326846191,56.7568447553708,4.89755071833315
-21.3672044831148,-28.7197645728323,52.7545104413283,2.65176559492956
-22.7874709917025,-27.1076914768463,56.8466687716706,5.10210461967603
-22.1460574795445,-28.0885218608248,55.5836785806956,3.49312938735306
-22.7343437977928,-27.9370449124518,56.1879689865816,4.06519652919725
-21.4258801878281,-28.7639363617885,53.3613983696257,2.40366444143243
-22.4244591799148,-27.4172668377233,55.4024006401696,4.06195324535629
-22.0836211217965,-27.5321218501379,55.7607419644694,4.05290075625459
-21.679261064778,-30.4420915468958,53.981594499692,0.667670211583334
-20.7803889015737,-29.4042890916015,51.8495482061999,2.78416062687185
-23.219022819891,-25.4257091911971,58.3208872959115,7.37313064833013
-22.9539022179435,-25.3894043306214,57.2488566136048,6.75712917838355
-22.2455540614236,-28.1045857862967,55.5940918504739,3.50131311877678
-21.3491574242939,-28.3090845172308,53.040498668852,2.93101923705607
-22.3565386150726,-27.3712733325941,55.2664204703376,4.04263010156474
-23.1156474610913,-25.7254090647111,56.4491696065255,6.13854059454162
-22.1446236635803,-29.694398842577,56.0285667800575,2.60828029280692
-21.408291711683,-28.9694260622734,53.8059096952859,2.14124971859208
-22.5207658047134,-27.9357873027185,56.3650443831038,4.11539736495012
-22.553266558777,-27.4470650670253,55.8105630933129,4.2311821149838
-22.3545740957001,-27.6462093474735,55.4100623259897,3.8442606786942
-21.3592344128672,-28.7844211969831,52.9894068734808,2.49981061342506
-22.1520823853033,-27.8569415339303,55.4063870951362,3.61820746432564
-22.0013056881618,-27.1918155634974,55.5894410106594,4.27658307221668
-22.2900684792195,-29.2308697859698,55.5551852245275,2.59026647094597
-22.0842108483706,-26.6495050939646,54.9936772386902,4.60841566666417
-22.6940104173623,-26.4925585109768,56.778476763,5.54175101779212
-21.8127539844955,-27.2530978693684,55.8607503285312,4.32301539569456
-22.0301016949234,-29.8849425711236,54.611967969337,1.47249801792926
-21.6441855730813,-29.4068408408162,54.2374929983082,1.72703266532612
-22.2383488124518,-27.5894025744105,55.4872559760828,3.90527400120975
-21.7540319561156,-27.8112028560233,54.5739027053665,3.36066323127358
-22.5154962262625,-28.6708762224539,55.3919393451574,2.99410398559729
-21.9037645105734,-27.9869690513377,54.9861551050413,3.31103722078452
-22.2623415425706,-28.002635168365,55.3289881722496,3.47481976736829
-21.8786279557776,-27.3720346011814,54.6769733186678,3.81825183696041
-22.5765596830714,-28.2154565322799,56.7818772566057,4.1927886130723
-21.9238126757835,-25.0289608580781,54.4001230906406,6.10020442424171
-22.2267527283482,-30.0072984228296,54.660547733518,1.47147836348415
-21.0791517736331,-30.3918711901738,53.3513267748081,1.03622950848634
-23.0038205213372,-24.6846451066203,57.1172646628811,7.31288468220041
-22.1049180957041,-27.6834887949417,55.7304391293035,3.9087080351113
-21.5535823274921,-27.5881080798956,53.9573018572251,3.51266607602506
-22.3354493972111,-29.2058463755023,55.0540628911037,2.33678516891877
-22.5110112954693,-28.6210631459925,56.0308757697528,3.39347919586209
-21.5382650452421,-27.5976210305419,53.3630207592164,3.54384203307285
-22.9218355674929,-26.2473683557367,57.4665555249605,6.16567931821155
-21.4905522326096,-28.6323419251809,54.5674330781686,2.55866803275464
-22.7303311380346,-27.5585021614813,56.4613309079833,4.51445139989718
-23.1753224615397,-24.2421112123328,57.0804418041066,7.7218838084467
