iter,err_val,err_loo
100,0.0377749704510153,0.0223850449540068
200,0.011788274480757,0.0093355404810155
400,0.00575084272458055,0.00272070259563879
1000,0.00118529692110416,0.000512640192649967
2000,0.000584639070262343,0.000137653897425442
