iter,err_var_1,err_var_2,err_var_3,err_var_4,err_var_5,err_var_6,err_loo_1,err_loo_2,err_loo_3,err_loo_4,err_loo_5,err_loo_6
100,0.165885358944341,0.0136071578693667,0.17518733935844,329.636237735942,329.805455435583,442.771354117306,0.211694201555539,0.0137037881549237,12.6575622171253,Inf,Inf,Inf
200,0.148587973190584,0.00695915149936683,0.00814757895062004,194.473358137453,195.032072934771,386.272571209561,0.152174557257331,0.00469471018882497,0.00519405456909708,Inf,Inf,Inf
300,0.13878845911693,0.00577793483521555,0.00627241339718552,121.079911261088,122.881895420743,324.204388177226,0.142625555426452,0.00363594282019798,0.00434813898285065,Inf,Inf,Inf
500,0.137075701351401,0.00508016899079985,0.00490802719948851,46.5293761940541,49.5830156275844,230.5979344551,0.135014490228049,0.0033775340624728,0.00354074473593765,Inf,Inf,Inf
1000,0.132858552316977,0.00461665356861764,0.00439661094220573,0.001423245248516,0.00153963552096885,117.801932220973,0.132185175853324,0.00353000962770409,0.00366896747609954,0.0014179720700267,0.00159178885522383,Inf
2000,0.130672230352842,0.00449268459550178,0.00425652938452916,0.000767449506036934,0.000788320587750588,0.000663063532578999,0.132732413582837,0.00361542706247061,0.00358468686565162,0.000796549612684956,0.000808820088412574,0.000656883302891798
4000,0.130301632065628,0.00442247024251719,0.00421604308960203,0.000674541041780912,0.000660239343280954,0.000171778981666596,0.129866113929237,0.00384547475498194,0.00372549027556214,0.00065494815512694,0.000647252443510604,0.000179670764497385
8000,0.130395827644184,0.00438401425627507,0.00414467440249209,0.000553374843093699,0.000527442144915676,9.14553213122266e-05,0.129140772747576,0.00408545360548295,0.00389378053682405,0.000613929795774936,0.000602140639038755,0.000130667019504655
