FirstOrder,TotalOrder
0.500271242037306,0.500391655577795
0.00269557787096108,0.00271787349722454
1.24146957922353e-07,2.26169556229555e-06
0.00225048390524955,0.00228139710693147
0,2.41633042243333e-06
0.0917384318765066,0.092118503484711
0.0193005822386755,0.0193157616611607
0.0694813597725076,0.069525544302979
0.0818432693291861,0.0822151603673018
0.0147047847143647,0.0147249482894001
0.00401932804114059,0.00403375619956517
0.0650823699328345,0.0654896410326739
0.0161446071345486,0.0161693393024185
0.000976349122955665,0.000996619292948579
0.0751020285622354,0.0754309526598522
0.00700782885014519,0.00703306462485246
0.00217158036405189,0.00218291158074004
0.000581511890330566,0.000601659086900158
5.4263641067738e-06,8.12815778810291e-06
0.00437815940471843,0.00438727993613966
0.0141241519169069,0.014132482459484
0.00937875810911803,0.00938346554678075
2.19764306429933e-08,2.32509977704258e-06
4.11665956283863e-05,6.13329098641536e-05
2.10624951029401e-06,7.49734737223869e-05
6.28556128831651e-06,3.06522594755331e-05
0.000175712766031953,0.00020351502489304
0.000569376414735843,0.000601701812196312
0.00416938932809691,0.00419561326241219
0.000885684252273468,0.000908588071089295
0.00117102847250011,0.00117458530096906
0.0106541763324483,0.0106689870582186
